# detector ID, old position (x), old position (y), old position (z), calibrated position (x), calibrated position (y), calibrated position (z), calib. L2, calib. 2\theta, calib. \phi, delta L2 (calibrated - old), difc, zero
105048, 1.49299272632, 0.0, -0.146334272007, 1.49620721829, 0.0, -0.146649337402, 1.50337684155, 1.66849827766, 0.0, 0.00322989537381, 19291.5332031, 0.813571453094
105049, 1.49265831952, 0.0, -0.149315575765, 1.45734086866, 0.0, -0.145782653702, 1.46461427212, 1.6704980135, 0.0, -0.0354937165976, 19294.4824219, 19.2301998138
105050, 1.49232391272, 0.0, -0.152296879522, 1.49612762688, 0.0, -0.152685061868, 1.5038985014, 1.67249774933, 0.0, 0.00382347055711, 19326.671875, -0.633254826069
105051, 1.49198950593, 0.0, -0.15527818328, 1.48515794301, 0.0, -0.154567191228, 1.49317955971, 1.67449760437, 0.0, -0.00686846114695, 19340.0898438, 6.97315406799
105052, 1.49165509913, 0.0, -0.158259487037, 1.48825880267, 0.0, -0.157899151638, 1.49661159515, 1.67649745941, 0.0, -0.00341535825282, 19358.8007812, 2.94701123238
105053, 1.49132069233, 0.0, -0.161240790795, 1.51639711253, 0.0, -0.163952039852, 1.52523458004, 1.67849743366, 0.0, 0.0252225641161, 19386.9746094, -11.9589118958
105054, 1.49098628554, 0.0, -0.164222094552, 1.47443381886, 0.0, -0.162398951861, 1.48335039616, 1.68049740791, 0.0, -0.0166525673121, 19388.59375, 9.96961307526
105055, 1.49065187874, 0.0, -0.167203398309, 1.50117095612, 0.0, -0.168383301887, 1.51058506966, 1.68249738216, 0.0, 0.0105850445107, 19416.2207031, -7.51029920578
105056, 1.49031747194, 0.0, -0.170184702067, 1.48967978513, 0.0, -0.170111882321, 1.49936115742, 1.68449735641, 0.0, -0.000641831138637, 19429.3359375, 2.97684764862
105057, 1.48998306515, 0.0, -0.173166005824, 1.49369236065, 0.0, -0.173597100581, 1.50374627113, 1.68649733067, 0.0, 0.00373426242732, 19448.3203125, -5.97401237488
105058, 1.48964865835, 0.0, -0.176147309582, 1.50268836636, 0.0, -0.177689223154, 1.51315760612, 1.68849730492, 0.0, 0.0131305549294, 19469.1855469, -5.90255355835
105059, 1.48931425155, 0.0, -0.179128613339, 1.49556581273, 0.0, -0.179880525492, 1.50634467602, 1.69049727917, 0.0, 0.0062966174446, 19483.9003906, -0.352707922459
105060, 1.48897984476, 0.0, -0.182109917097, 1.47986490092, 0.0, -0.180995112439, 1.49089217186, 1.692497015, 0.0, -0.00918286386877, 19495.3183594, 4.64551877975
105061, 1.48864543796, 0.0, -0.185091220854, 1.48257177165, 0.0, -0.184336049553, 1.49398756027, 1.69449687004, 0.0, -0.00612043356523, 19513.7363281, 1.36434006691
105062, 1.48831103116, 0.0, -0.188072524612, 1.47550203749, 0.0, -0.186453898042, 1.48723614216, 1.69649648666, 0.0, -0.012910858728, 19528.4003906, 14.2108488083
105063, 1.48797662437, 0.0, -0.191053828369, 1.49991923171, 0.0, -0.192587240128, 1.51223266125, 1.69849598408, 0.0, 0.0120406486094, 19555.0917969, -9.16111850739
105064, 1.48764221757, 0.0, -0.194035132127, 1.47741945243, 0.0, -0.192701763416, 1.48993360996, 1.70049548149, 0.0, -0.0103093553334, 19563.8105469, 4.50894880295
105065, 1.48730781077, 0.0, -0.197016435884, 1.48903637116, 0.0, -0.197245409876, 1.50204360485, 1.70249474049, 0.0, 0.00174365995917, 19585.5761719, -1.47821807861
105066, 1.48697340398, 0.0, -0.199997739642, 1.51557496657, 0.0, -0.203844646286, 1.52922201157, 1.70449388027, 0.0, 0.0288591068238, 19613.0664062, -12.0755500793
105067, 1.48663899718, 0.0, -0.202979043399, 1.5054948488, 0.0, -0.205553537094, 1.51946270466, 1.70649278164, 0.0, 0.0190307945013, 19626.4824219, -7.40163040161
105068, 1.48630459038, 0.0, -0.205960347157, 1.47320603991, 0.0, -0.20414525352, 1.48728322983, 1.7084915638, 0.0, -0.0132237132639, 19631.3203125, 3.8923895359
105069, 1.48549803673, 0.0, -0.211699274628, 1.49043386659, 0.0, -0.212402682897, 1.50549256802, 1.71235382557, 0.0, 0.00498569943011, 19671.2578125, -6.29479074478
105070, 1.48499773049, 0.0, -0.21465726274, 1.49585367264, 0.0, -0.216226495324, 1.51140069962, 1.71435248852, 0.0, 0.0109687726945, 19690.5625, -8.17651557922
105071, 1.48449742425, 0.0, -0.217615250851, 1.47531231095, 0.0, -0.216268787932, 1.49107968807, 1.71635150909, 0.0, -0.00928327906877, 19699.8183594, 2.18803191185
105072, 1.48399711801, 0.0, -0.220573238962, 1.47454243486, 0.0, -0.219167946418, 1.49074137211, 1.71835064888, 0.0, -0.00955855008215, 19716.6933594, 3.08115148544
105073, 1.48349681177, 0.0, -0.223531227073, 1.51386574562, 0.0, -0.2281071756, 1.53095471859, 1.72034990788, 0.0, 0.0307117477059, 19749.0917969, -25.3361301422
105074, 1.48299650553, 0.0, -0.226489215184, 1.50481967217, 0.0, -0.229822137324, 1.52226817608, 1.72234928608, 0.0, 0.0220762081444, 19762.7421875, -15.1393203735
105075, 1.48249619929, 0.0, -0.229447203296, 1.4874255581, 0.0, -0.230210124371, 1.50513505936, 1.7243489027, 0.0, 0.00498804822564, 19773.1230469, -8.27802944183
105076, 1.48199589305, 0.0, -0.232405191407, 1.47362554344, 0.0, -0.231092561115, 1.49163532257, 1.72634851933, 0.0, -0.00847264751792, 19784.8730469, 1.15180027485
105077, 1.48149558681, 0.0, -0.235363179518, 1.48136396185, 0.0, -0.235342268441, 1.49994170666, 1.72834825516, 0.0, -0.000133275665576, 19804.9785156, -1.06762671471
105078, 1.48099528057, 0.0, -0.238321167629, 1.49395408013, 0.0, -0.240406492467, 1.51317346096, 1.7303481102, 0.0, 0.0131255118176, 19826.9667969, -12.9395389557
105079, 1.48049497433, 0.0, -0.241279155741, 1.45814447546, 0.0, -0.237636651314, 1.47738158703, 1.73234796524, 0.0, -0.0226453673095, 19830.0605469, 13.0903711319
105080, 1.47999466809, 0.0, -0.244237143852, 1.497849056, 0.0, -0.247183576568, 1.51810789108, 1.73434793949, 0.0, 0.0180958732963, 19862.6113281, -14.8588809967
105081, 1.47949436185, 0.0, -0.247195131963, 1.5058244933, 0.0, -0.251594391932, 1.52669811249, 1.73634791374, 0.0, 0.0266951173544, 19882.7695312, -12.3167676926
