# detector ID, old position (x), old position (y), old position (z), calibrated position (x), calibrated position (y), calibrated position (z), calib. L2, calib. 2\theta, calib. \phi, delta L2 (calibrated - old), difc, zero
114120,-1.5000000,-0.0000000,0.0030000,-1.4688549,-0.0000000,0.0029377,1.4688577652,1.5687962770,-3.1415927410,-0.0311452020,18383.5488281250,-10.6009130478
115001,-1.5000000,0.0000000,0.0000000,-1.4740892,0.0000000,0.0000000,1.4740891457,1.5707963705,3.1415927410,-0.0259108357,18403.8300781250,-9.0160951614
115002,-1.5000000,0.0000000,-0.0030000,-1.4728775,0.0000000,-0.0029458,1.4728804827,1.5727963448,3.1415927410,-0.0271225721,18421.7929687500,-11.5774135590
115003,-1.5000000,0.0000000,-0.0060000,-1.4638197,0.0000000,-0.0058553,1.4638314247,1.5747963190,3.1415927410,-0.0361805521,18436.9257812500,-3.7729780674
115004,-1.5000000,0.0000000,-0.0090000,-1.4716746,0.0000000,-0.0088300,1.4717010260,1.5767962933,3.1415927410,-0.0283259191,18458.1015625000,-10.9405860901
115005,-1.5000000,0.0000000,-0.0120000,-1.4604991,0.0000000,-0.0116840,1.4605457783,1.5787961483,3.1415927410,-0.0395021811,18472.4355468750,-7.1246109009
115006,-1.5000000,0.0000000,-0.0150000,-1.4745078,0.0000000,-0.0147451,1.4745814800,1.5807960033,3.1415927410,-0.0254934635,18495.7929687500,-13.3760080338
115007,-1.5000000,0.0000000,-0.0180000,-1.4529821,0.0000000,-0.0174358,1.4530867338,1.5827957392,3.1415927410,-0.0470212623,18506.3613281250,-5.5648164749
115008,-1.5000000,0.0000000,-0.0210000,-1.4768552,0.0000000,-0.0206760,1.4769999981,1.5847953558,3.1415927410,-0.0231470447,18533.2441406250,-12.0133562088
115009,-1.5000000,0.0000000,-0.0240000,-1.4684408,0.0000000,-0.0234951,1.4686287642,1.5867949724,3.1415927410,-0.0315632671,18548.4902343750,-11.7566947937
